transcript_id,chunk_id,tier,type,quality,n_runs,n_elicited,disagreement
2026-06-06_mike_good,mike_a_t3_resilience_as_burden,3,signal,good,15,7,0.4666666666666667
2026-06-06_alex_good,alex_m_t2_temporal_mismatch,2,fact,good,15,7,0.4666666666666667
2026-06-15_tom_bad,tom_c_t2_regulation_lag,2,fact,bad,15,7,0.4666666666666667
2026-06-15_alex_bad,alex_m_t1_institutional_process,1,fact,bad,15,5,0.3333333333333333
2026-06-06_mike_good,mike_a_t3_trust_erosion,3,signal,good,15,11,0.26666666666666666
2026-06-15_mike_good,mike_a_t3_loss_of_belonging,3,signal,good,15,3,0.2
2026-06-06_mike_good,mike_a_t2_planning_disconnect,2,fact,good,15,12,0.2
2026-06-06_alex_good,alex_m_t1_formal_strategies,1,fact,good,15,13,0.13333333333333333
2026-06-06_sarah_good,sarah_d_t3_exit_consideration,3,signal,good,15,1,0.06666666666666667
2026-06-15_alex_good,alex_m_t2_temporal_mismatch,2,fact,good,15,14,0.06666666666666667
2026-06-15_mike_bad,mike_a_t1_places_that_flood_first,1,fact,bad,15,0,0.0
2026-06-15_mike_bad,mike_a_t1_routine_adjustments,1,fact,bad,15,0,0.0
2026-06-15_mike_bad,mike_a_t2_informal_mutual_aid,2,fact,bad,15,0,0.0
2026-06-15_mike_bad,mike_a_t2_informal_prioritization,2,fact,bad,15,0,0.0
2026-06-15_mike_bad,mike_a_t2_planning_disconnect,2,fact,bad,15,0,0.0
2026-06-15_mike_bad,mike_a_t2_uneven_prioritization,2,fact,bad,15,0,0.0
2026-06-15_mike_bad,mike_a_t3_resilience_as_burden,3,signal,bad,15,0,0.0
2026-06-15_mike_bad,mike_a_t3_loss_of_belonging,3,signal,bad,15,0,0.0
2026-06-15_mike_bad,mike_a_t3_quiet_displacement,3,signal,bad,15,0,0.0
2026-06-15_alex_good,alex_m_t3_threshold_gap,3,signal,good,15,15,0.0
2026-06-15_mike_bad,mike_a_t3_trust_erosion,3,signal,bad,15,0,0.0
2026-06-15_mike_good,mike_a_t1_flooding_pattern_change,1,fact,good,15,15,0.0
2026-06-15_mike_good,mike_a_t1_places_that_flood_first,1,fact,good,15,15,0.0
2026-06-15_mike_good,mike_a_t1_routine_adjustments,1,fact,good,15,15,0.0
2026-06-15_mike_good,mike_a_t2_informal_mutual_aid,2,fact,good,15,15,0.0
2026-06-15_mike_good,mike_a_t2_informal_prioritization,2,fact,good,15,15,0.0
2026-06-15_mike_good,mike_a_t2_planning_disconnect,2,fact,good,15,0,0.0
2026-06-15_mike_good,mike_a_t2_uneven_prioritization,2,fact,good,15,0,0.0
2026-06-15_mike_bad,mike_a_t1_flooding_pattern_change,1,fact,bad,15,0,0.0
2026-06-15_alex_good,alex_m_t3_long_term_protectability,3,signal,good,15,15,0.0
2026-06-15_alex_good,alex_m_t3_sequencing_and_equity,3,signal,good,15,0,0.0
2026-06-15_mike_good,mike_a_t3_resilience_as_burden,3,signal,good,15,15,0.0
2026-06-15_alex_bad,alex_m_t2_buying_time,2,fact,bad,15,0,0.0
2026-06-15_alex_bad,alex_m_t2_capacity,2,fact,bad,15,0,0.0
2026-06-15_alex_bad,alex_m_t2_political_cycle,2,fact,bad,15,0,0.0
2026-06-15_alex_bad,alex_m_t2_temporal_mismatch,2,fact,bad,15,0,0.0
2026-06-15_alex_bad,alex_m_t2_uneven_exposure,2,fact,bad,15,0,0.0
2026-06-15_alex_bad,alex_m_t3_displacement_moral_stress,3,signal,bad,15,0,0.0
2026-06-15_alex_bad,alex_m_t3_false_security,3,signal,bad,15,0,0.0
2026-06-15_alex_bad,alex_m_t3_long_term_protectability,3,signal,bad,15,0,0.0
